"","subset","variable","hazard.ratio","X5..CI","X95..CI","SE","z_value","p_value"
"17","Female model 9","poorer service","1.2621946499265","0.371036693645324","3.80419373457543","0.875805367584211","1.4411816787651","0.149963823557455"
"18","Female model 9","afraid others","0.692825276985643","4.85157678389018e-08","3.22599177417274","0.822957072871677","0.841872923660594","0.407195080781117"
"19","Female model 13","harassed","1.10384028326237","0.764191134681581","1.76856066615772","0.256216717213301","4.30822896830507","2.01902993903239e-05"
"20","Female model 13","less respect","1.2994828381683","1.03939155523","1.58039180890629","0.138010268794972","9.41584165812191","1.1232198867704e-19"
"21","Female model 13","medical","1.66329901971527","1.10510118777795","2.58478802155046","0.377471131064416","4.40642709556357","1.3181269374043e-05"
"22","Female model 13","not clever","1.50083677485195","1.20112892229224","1.75355656258509","0.140925418442054","10.6498656625886","1.55818063526954e-24"
"23","Female model 13","poorer service","1.50068602468935","1.1944745494833","1.88487903363948","0.176123592896985","8.52064166989318","1.69877307929373e-16"
"24","Female model 13","afraid others","1.2826414400132","0.915569195164668","1.77883502301234","0.220220874450937","5.82434087236794","1.14188745305924e-08"
"25","Female model 14","harassed","1.7984974695187","0.280727970992194","5.55058837329211","1.34435214344386","1.33781723656976","0.18199919384446"
"26","Female model 14","less respect","1.94733807229448","0.858848528066138","4.72635426987941","0.986608607605427","1.97376959544354","0.0480346992141352"
"27","Female model 14","medical","3.63470792650151","0.983734157805814","14.5716640749689","3.46630865233752","1.04858173089994","0.298425506145017"
"28","Female model 14","not clever","2.65322357409077","1.24463471617057","5.31598484584385","1.03860972695747","2.55459149401883","0.010604973551244"
"29","Female model 14","poorer service","2.28520543316063","0.718147023930298","5.21692070074998","1.14764634612747","1.99121048123549","0.046092534009444"
"30","Female model 14","afraid others","2.79451575430204","0.99310135731396","5.68753166117259","1.19755875098434","2.3335103618132","0.0194801456745721"
"31","Female model 16","harassed",NA,NA,NA,NA,NA,NA
"32","Female model 16","less respect","1.82607177922184","0.492702748773235","5.28507220363346","1.22254322828067","1.49366642993062","0.135461038022041"
"33","Female model 16","medical","7.70662911561156","2.70428362561862e-07","17.9286576837277","4.57363709522942","1.68501106562434","0.0916951265033955"
"34","Female model 16","not clever","1.09368318563709","0.412692786987493","3.05812252956295","0.674854526167208","1.62062065708975","0.10491842685692"
"35","Female model 16","poorer service","1.57898179578003","0.344821823656659","4.63569020546628","1.09460928107388","1.44250722434122","0.149583315025535"
"36","Female model 16","afraid others","3.87822703575464e-07","4.90617915081225e-08","6.71771115075733e-07","1.58854419277452e-07","2.4413718254706","0.0145531633418188"
"37","race model 4","harassed",NA,"0.89667340007245","2.06787968560911","0.298777113657311",NA,NA
"38","race model 4","less respect",NA,"0.822745962638987","1.28793287435283","0.118670130539246",NA,NA
"39","race model 4","medical",NA,"1.00945267967765","2.13260489820497","0.286518423093704",NA,NA
"40","race model 4","not clever",NA,"0.908696279890934","1.49460967346109","0.149467702441366",NA,NA
"41","race model 4","poorer service",NA,"0.8097970082611","1.4931983461759","0.174337075998673",NA,NA
"42","race model 4","afraid others",NA,"0.889901989813863","1.69916959914811","0.206445818707716",NA,NA
"43","race model 7","harassed","0.944060233880737","6.25019710985979e-09","4.20698081945593","1.07320939112391","0.879660802159098","0.385729514063183"
"44","race model 7","less respect","1.06399077589905","0.409437457510654","2.97206761706327","0.653732183559341","1.62756370675526","0.103422571936286"
"45","race model 7","medical","6.75054646849294","0.57421363282796","32.1275229544201","8.04931360244698","0.838648709927364","0.409058502601983"
"46","race model 7","not clever","1.58623657476638","0.531423712296764","3.52705210225562","0.764190915805831","2.07570718515243","0.0376040641907698"
